name,position,birthday,hometown,description,history,education,image,gender
Huỳnh Thành Đạt,Bộ trưởng Khoa học và Công nghệ,26/8/1962,"Xã An Định, huyện Mỏ Cày Nam, tỉnh Bến Tre","Ngày sinh: 26/8/1962
Quê quán: Xã An Định, huyện Mỏ Cày Nam, tỉnh Bến Tre
Ủy viên Trung ương Đảng khóa XII, XIII","1/1987 - 5/2004
 Công tác tại Đại học Quốc gia TP HCM
5/2004 - 1/2017
 Phó giám đốc Đại học Quốc gia TP HCM
1/2017 - 11/2020
 Giám đốc Đại học Quốc gia TP HCM
11/2020
 Bộ trưởng Khoa học và Công nghệ","Phó giáo sư, Tiến sĩ Vật lý",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/huynh-thanh-dat.png,Ông
Phan Văn Giang,"Đại tướng, Bộ trưởng Quốc phòng",14/10/1960,"Xã Hồng Quang, huyện Nam Trực, tỉnh Nam Định","Ngày sinh: 14/10/1960
Quê quán: Xã Hồng Quang, huyện Nam Trực, tỉnh Nam Định
Ủy viên Bộ Chính trị khóa XIII; Ủy viên Trung ương Đảng khóa XII, XIII","2010
Tư lệnh Quân đoàn 1
2011
Phó tổng Tham mưu trưởng QĐND Việt Nam
4/2014
Tư lệnh Quân khu 1
4/2016
Thứ trưởng Quốc phòng
5/2016 - 4/2021
Tổng Tham mưu trưởng Quân đội Nhân dân Việt Nam, Thứ trưởng Quốc phòng
4/2021
Bộ trưởng Quốc phòng
7/2021
Được thăng quân hàm Đại tướng",Tiến sĩ Khoa học quân sự,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/phan-van-giang.png,Ông
Trần Hồng Hà,Bộ trưởng Tài nguyên và Môi trường,19/4/1963,"Xã Kim Lộc, huyện Can Lộc, tỉnh Hà Tĩnh","Ngày sinh: 19/4/1963
Quê quán: Xã Kim Lộc, huyện Can Lộc, tỉnh Hà Tĩnh
Ủy viên Trung ương Đảng khóa XI (dự khuyết), XII, XIII","1992 - 1996
 Cộng tác viên khoa học tại Trung tâm hỗ trợ phát triển khoa học kỹ thuật điện tử thông tin ANTEI Moskva
9/1996 - 12/2003
 Làm việc tại Cục Môi trường, Bộ Khoa học, Công nghệ và Môi trường (sau đổi tên là Bộ Tài nguyên và Môi trường)
1/2004 - 6/2008
 Quyền Cục trưởng, Cục trưởng Bảo vệ môi trường, Bộ Tài nguyên và Môi trường
7/2008 - 12/2008
  Thứ trưởng Tài nguyên và Môi trường
1/2009 - 6/2010
  Phó bí thư Tỉnh ủy Bà Rịa Vũng Tàu
7/2010 - 4/2016
 Thứ trưởng Tài nguyên và Môi trường
4/2016
 Bộ trưởng Tài nguyên và Môi trường",Tiến sĩ,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/tran-hong-ha.png,Ông
Lê Minh Hoan,Bộ trưởng NN&PTNT,19/1/1961,"Xã Mỹ Trà, TP Cao Lãnh, tỉnh Đồng Tháp","Ngày sinh: 19/1/1961
Quê quán: Xã Mỹ Trà, TP Cao Lãnh, tỉnh Đồng Tháp
Ủy viên Trung ương Đảng khóa XII, XIII","Trước 2004
 Phó giám đốc; Giám đốc Sở Xây dựng Đồng Tháp
2004 - 6/2008
 Phó chủ tịch UBND tỉnh Đồng Tháp
6/2008 - 11/2010
 Bí thư Thành ủy Cao Lãnh, tỉnh Đồng Tháp
11/2010 - 6/2011
 Phó bí thư Tỉnh ủy, Chủ tịch UBND tỉnh Đồng Tháp
6/2011 - 7/2014
 Chủ tịch UBND tỉnh Đồng Tháp
4/2014 - 9/2020
 Bí thư Tỉnh ủy Đồng Tháp
9/2020 - 4/2021
 Thứ trưởng Nông nghiệp và Phát triển nông thôn
4/2021
Bộ trưởng Bộ Nông nghiệp và Phát triển nông thôn","Thạc sĩ Kinh tế, Kiến trúc sư",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/le-minh-hoan.png,Ông
Nguyễn Thị Hồng,Thống đốc Ngân hàng Nhà nước Việt Nam,27/3/1968,"Quận Cầu Giấy, TP Hà Nội","Ngày sinh: 27/3/1968
Quê quán: Quận Cầu Giấy, TP Hà Nội
Ủy viên Trung ương Đảng khóa XIII","1/1991 - 11/1993
Chuyên viện Vụ Quản lý ngoại hối, Ngân hàng Nhà nước Việt Nam
11/1993 - 4/1995
Chuyên viên Vụ Chính sách tiền tệ, Ngân hàng Nhà nước Việt Nam
4/1995 - 4/2008
Phó trưởng phòng, Trưởng phòng Vụ Chính sách tiền tệ, Ngân hàng Nhà nước Việt Nam
4/2008 - 1/2012
Phó vụ trưởng Vụ Chính sách tiền tệ, Ngân hàng Nhà nước Việt Nam
1/2012 - 8/2014
Vụ trưởng Vụ Chính sách tiền tệ, Ngân hàng Nhà nước Việt Nam
8/2014 - 11/2020
Phó thống đốc Ngân hàng Nhà nước Việt Nam
11/2020
Thống đốc Ngân hàng Nhà nước Việt Nam",Thạc sĩ kinh tế,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/nguyen-thi-hong.png,Bà
Nguyễn Mạnh Hùng,Bộ trưởng Thông tin và Truyền thông,24/7/1962,"Phường Tân Hồng, thị xã Từ Sơn, tỉnh Bắc Ninh","Ngày sinh: 24/7/1962
Quê quán: Phường Tân Hồng, thị xã Từ Sơn, tỉnh Bắc Ninh
Ủy viên Trung ương Đảng khóa XII, XIII","7/1979 - 8/1980
 Nhập ngũ, học tại trường Đại học Kỹ thuật Quân sự, Liên Xô (cũ)
9/1980 - 7/1986
 Học viên Trường Thông tin Ulianôp, Liên Xô
8/1986 - 12/1989
 Trung úy, Thượng úy, Trợ lý kỹ thuật Viện Kỹ thuật thông tin, Binh chủng Thông tin liên lạc
1/1990 - 8/1993
 Thượng úy, Trợ lý Công ty Điện tử thiết bị thông tin, Binh chủng Thông tin liên lạc
9/1993 - 8/1995
 Đại úy, học viên Đại học Tổng hợp Sydney, Úc
9/1995 - 5/2000
 Công tác tại Công ty Điện tử Viễn thông Quân đội, Binh chủng Thông tin liên lạc
6/2000 - 3/2005
 Trung tá, Thượng tá, Phó giám đốc Công ty Điện tử Viễn thông Quân đội, Binh chủng Thông tin liên lạc
4/2005 - 12/2009
 Thượng tá, Đại tá, Phó tổng giám đốc Tổng Công ty Viễn thông Quân đội, Bộ Quốc phòng
1/2010 - 2/2014
 Đại tá, Thiếu tướng, Phó tổng giám đốc Tập đoàn Viễn thông Quân đội, Bộ Quốc phòng
3/2014 - 5/2018
 Thiếu tướng, Tổng giám đốc Tập đoàn Viễn thông Quân đội, Bộ Quốc phòng
6/2018 - 7/2018
 Thiếu tướng, Chủ tịch kiêm Tổng Giám đốc Tập đoàn Công nghiệp - Viễn thông Quân đội, Bộ Quốc phòng
7/2018 - 10/2018
 Quyền Bộ trưởng Thông tin và Truyền thông kiêm Phó trưởng Ban Tuyên giáo Trung ương
10/2018
 Bộ trưởng Thông tin và Truyền thông kiêm Phó trưởng Ban Tuyên giáo Trung ương","Thạc sĩ Kinh tế, Thạc sĩ Kỹ thuật, Kỹ sư Viễn thông vô tuyến",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/nguyen-manh-hung.png,Ông
Nguyễn Văn Hùng,"Bộ trưởng Văn hóa, Thể thao và Du lịch",20/4/1961,"Xã Trung Nam, huyện Vĩnh Linh, tỉnh Quảng Trị","Ngày sinh: 20/4/1961
Quê quán: Xã Trung Nam, huyện Vĩnh Linh, tỉnh Quảng Trị
Ủy viên Trung ương Đảng khóa XII, XIII","1997-2010
 Bí thư Tỉnh Đoàn Quảng Trị; Chủ tịch UBND rồi Bí thư Thành ủy Đông Hà, tỉnh Quảng Trị
2010-2015
 Phó bí thư Tỉnh ủy Quảng Trị
9/2015 - 7/2020
 Bí thư Tỉnh ủy Quảng Trị
7/2020 - 4/2021
 Thứ trưởng Văn hóa, Thể thao và Du lịch
4/2021
Bộ trưởng Văn hóa, Thể thao và Du lịch",Thạc sĩ Triết học,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/nguyen-van-hung.png,Ông
Tô Lâm,"Đại tướng, Bộ trưởng Công an",10/7/1957,"Xã Nghĩa Trụ, huyện Văn Giang, tỉnh Hưng Yên","Ngày sinh: 10/7/1957
Quê quán: Xã Nghĩa Trụ, huyện Văn Giang, tỉnh Hưng Yên
Ủy viên Trung ương Đảng khóa XI, XII, XIII; Ủy viên Bộ Chính trị khóa XII, XIII","12/1988 - 1993
Phó trưởng phòng rồi Trưởng phòng Cục Bảo vệ chính trị I, Bộ Công an
1993 - 2006
Phó cục trưởng Cục Bảo vệ chính trị I rồi Cục trưởng Cục Bảo vệ chính trị III, Bộ Công an
2006 - 2009
Phó tổng cục trưởng Tổng cục An ninh, Bộ Công an
2009 - 8/2010
Tổng cục trưởng Tổng cục Anh ninh I, Bộ Công an
8/2010 - 4/2016
Thứ trưởng Công an
4/2016
Bộ trưởng Công an
1/2019
Được phong cấp hàm Đại tướng","Giáo sư Khoa học An ninh, Tiến sĩ Luật học",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/to-lam.png,Ông
Hầu A Lềnh,"Bộ trưởng, Chủ nhiệm Ủy ban Dân tộc",22/6/1973,"Xã Tả Van, huyện Sa Pa, tỉnh Lào Cai","Ngày sinh: 22/6/1973
Quê quán: Xã Tả Van, huyện Sa Pa, tỉnh Lào Cai
Ủy viên Trung ương Đảng khóa X (dự khuyết), XI (dự khuyết), XII, XIII","8/1986 - 2/1991
 Học tại trường Quân sự Ấp Bắc, tỉnh Hoàng Liên Sơn (nay là Trường Quân sự tỉnh Yên Bái)
3/1991 - 7/1995
 Học viên Trường Sĩ quan Chính trị - Quân sự
8/1995 - 7/2000
 Công tác tại Cục 16 - Tổng Cục II, Bộ Quốc phòng
8/2000 - 2/2001
 Công tác tại Ban Tổ chức Huyện ủy Sa Pa, tỉnh Lào Cai
3/2001 - 5/2004
 Bí thư Huyện đoàn Sa Pa
6/2004 - 3/2010
 Phó bí thư Huyện ủy, Chủ tịch UBND huyện Sa Pa
4/2010 - 7/2015
 Bí thư Huyện ủy Sa Pa
8/2015 - 9/2015
 Phó bí thư Tỉnh ủy Lào Cai
10/2015 - 1/2018
 Phó trưởng Ban Chỉ đạo Tây Bắc
1/2018 - 4/2021
 Phó chủ tịch - Tổng Thư ký Ủy ban Trung ương Mặt trận Tổ quốc Việt Nam
4/2021
Bộ trưởng, Chủ nhiệm Ủy ban dân tộc",Thạc sĩ,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/hau-a-lenh.png,Ông
Nguyễn Thanh Long,Bộ trưởng Y tế,3/9/1966,"Xã Bạch Long, huyện Giao Thủy, tỉnh Nam Định","Ngày sinh: 3/9/1966
Quê quán: Xã Bạch Long, huyện Giao Thủy, tỉnh Nam Định
Ủy viên Trung ương Đảng khóa XIII","6/2005 - 3/2008
Phó Cục trưởng Cục phòng chống HIV/AIDS, Bộ Y tế
3/2008 - 11/2011
Cục trưởng Cục Phòng chống HIV/AIDS
12/2011 - 10/2018
Thứ trưởng Y tế
10/2018
Phó trưởng ban Tuyên giáo Trung ương
1/2020
Thứ trưởng Y tế
7/2020
Quyền Bộ trưởng Y tế
11/2020
Bộ trưởng Y tế","Giáo sư, Tiến sĩ y học",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/nguyen-thanh-long.png,Ông
